ID,Income,AppliedOnline,Residence,Yrs at Current Address,Yrs with Current Employer,Number of Cards,Creditcard Debt,Loans,Loan Amount
100522.000000,43982.000000,"YES","Owner Occupier",13.000000,11.000000,2.000000,1055.000000,0.000000,9405.000000
101756.000000,59944.000000,"YES","Owner Occupier",20.000000,11.000000,2.000000,3894.000000,0.000000,9880.000000
101354.000000,57718.000000,"YES","Owner Occupier",25.000000,16.000000,2.000000,1555.000000,1.000000,6285.000000
100512.000000,45621.000000,"YES","Owner Occupier",1.000000,19.000000,1.000000,1878.000000,0.000000,9260.000000
100537.000000,45081.000000,"NO","Owner Occupier",14.000000,15.000000,2.000000,713.000000,1.000000,8430.000000
100458.000000,46645.000000,"NO","Owner Occupier",19.000000,4.000000,1.000000,884.000000,0.000000,6045.000000
101430.000000,45066.000000,"YES","Private Renting",16.000000,15.000000,1.000000,860.000000,1.000000,6605.000000
101432.000000,44202.000000,"NO","Owner Occupier",1.000000,23.000000,2.000000,2611.000000,0.000000,12915.000000
100601.000000,55215.000000,"YES","Private Renting",1.000000,6.000000,2.000000,1930.000000,0.000000,9820.000000
101549.000000,44460.000000,"YES","Owner Occupier",4.000000,16.000000,1.000000,3467.000000,1.000000,9290.000000
101524.000000,57004.000000,"YES","Private Renting",14.000000,31.000000,1.000000,3561.000000,0.000000,6720.000000
100548.000000,44272.000000,"YES","Owner Occupier",12.000000,20.000000,1.000000,645.000000,1.000000,10095.000000
101472.000000,45659.000000,"YES","Public Housing",12.000000,17.000000,1.000000,9466.000000,1.000000,17050.000000
100536.000000,45450.000000,"YES","Owner Occupier",15.000000,24.000000,1.000000,4217.000000,0.000000,8040.000000
100599.000000,52495.000000,"NO","Owner Occupier",18.000000,16.000000,2.000000,2527.000000,1.000000,10375.000000
100627.000000,44671.000000,"YES","Private Renting",16.000000,9.000000,2.000000,3971.000000,1.000000,12050.000000
101754.000000,50816.000000,"YES","Owner Occupier",0.000000,17.000000,2.000000,2031.000000,1.000000,8075.000000
101749.000000,43876.000000,"YES","Private Renting",13.000000,0.000000,2.000000,98.000000,1.000000,5330.000000
100620.000000,44705.000000,"YES","Owner Occupier",0.000000,8.000000,1.000000,230.000000,0.000000,5720.000000
100569.000000,46168.000000,"YES","Private Renting",0.000000,6.000000,1.000000,3762.000000,1.000000,12520.000000
100782.000000,43608.000000,"NO","Owner Occupier",2.000000,20.000000,1.000000,452.000000,0.000000,7610.000000
100756.000000,59944.000000,"YES","Owner Occupier",20.000000,11.000000,2.000000,3894.000000,0.000000,9880.000000
101452.000000,57689.000000,"NO","Owner Occupier",25.000000,19.000000,1.000000,331.000000,1.000000,9915.000000
100494.000000,55421.000000,"NO","Owner Occupier",11.000000,3.000000,2.000000,1169.000000,0.000000,10715.000000
100563.000000,55112.000000,"YES","Living with parents/guardian",10.000000,14.000000,2.000000,4113.000000,1.000000,14510.000000
100677.000000,44728.000000,"YES","Private Renting",2.000000,7.000000,2.000000,847.000000,0.000000,11580.000000
100697.000000,51561.000000,"NO","Public Housing",17.000000,5.000000,2.000000,3010.000000,0.000000,16630.000000
100423.000000,49007.000000,"NO","Living with parents/guardian",14.000000,18.000000,1.000000,13360.000000,0.000000,24375.000000
101722.000000,45390.000000,"YES","Owner Occupier",3.000000,2.000000,2.000000,154.000000,0.000000,11710.000000
100439.000000,43890.000000,"YES","Owner Occupier",19.000000,18.000000,2.000000,505.000000,1.000000,6960.000000
101363.000000,44193.000000,"YES","Public Housing",18.000000,3.000000,1.000000,260.000000,0.000000,6605.000000
