ID,CHURN
1,"T"
6,"F"
8,"F"
11,"F"
14,"F"
17,"F"
18,"F"
21,"F"
22,"F"
23,"F"
24,"F"
29,"T"
35,"T"
36,"T"
37,"T"
38,"T"
40,"T"
42,"F"
45,"T"
48,"T"
52,"T"
53,"F"
54,"T"
60,"T"
61,"T"
62,"F"
63,"T"
65,"T"
68,"T"
71,"F"
73,"F"
74,"F"
75,"F"
77,"T"
78,"F"
79,"T"
80,"F"
81,"T"
83,"T"
84,"F"
85,"F"
86,"F"
87,"T"
88,"F"
89,"T"
90,"T"
92,"T"
94,"T"
95,"F"
96,"T"
97,"F"
104,"T"
108,"T"
109,"T"
110,"T"
111,"T"
114,"T"
117,"F"
120,"F"
121,"T"
124,"F"
127,"T"
130,"F"
133,"F"
135,"T"
136,"F"
138,"F"
139,"F"
140,"T"
142,"F"
148,"F"
154,"T"
158,"F"
160,"F"
161,"F"
166,"T"
169,"T"
174,"T"
178,"F"
180,"T"
181,"F"
182,"T"
190,"F"
191,"T"
192,"T"
194,"F"
195,"T"
198,"T"
201,"T"
203,"F"
205,"F"
206,"F"
207,"F"
209,"F"
213,"T"
214,"F"
215,"F"
218,"F"
219,"T"
220,"F"
221,"F"
222,"T"
224,"F"
225,"F"
228,"F"
229,"F"
231,"F"
232,"F"
233,"F"
234,"F"
236,"T"
237,"F"
238,"F"
239,"T"
240,"F"
241,"F"
242,"F"
243,"F"
244,"F"
246,"F"
247,"T"
249,"F"
250,"F"
254,"F"
255,"T"
257,"F"
260,"F"
261,"F"
263,"F"
264,"F"
265,"F"
266,"T"
267,"F"
270,"F"
272,"F"
273,"T"
276,"F"
279,"F"
280,"T"
281,"F"
283,"F"
284,"T"
285,"F"
286,"T"
288,"F"
289,"T"
290,"T"
291,"T"
295,"T"
298,"T"
302,"F"
304,"T"
305,"T"
306,"T"
308,"T"
309,"T"
310,"T"
312,"F"
313,"F"
315,"T"
317,"T"
318,"T"
320,"F"
322,"T"
326,"T"
329,"F"
331,"T"
332,"T"
333,"F"
334,"T"
335,"F"
336,"F"
337,"T"
338,"F"
339,"F"
341,"F"
343,"F"
346,"F"
349,"T"
350,"F"
351,"F"
353,"F"
354,"F"
355,"T"
356,"T"
358,"F"
360,"F"
361,"F"
363,"F"
365,"F"
370,"F"
372,"T"
374,"T"
375,"F"
377,"F"
379,"F"
382,"F"
383,"F"
384,"T"
385,"F"
386,"F"
388,"F"
389,"F"
391,"T"
392,"F"
394,"F"
398,"T"
401,"F"
404,"T"
405,"F"
407,"F"
408,"F"
410,"F"
414,"F"
418,"F"
419,"T"
421,"T"
422,"F"
423,"T"
424,"F"
426,"F"
427,"F"
428,"F"
429,"F"
431,"T"
436,"F"
438,"T"
439,"T"
440,"T"
441,"T"
442,"T"
443,"T"
444,"T"
445,"T"
446,"T"
450,"F"
455,"F"
456,"F"
458,"T"
460,"F"
461,"T"
462,"T"
463,"T"
464,"F"
465,"F"
466,"F"
467,"F"
468,"F"
469,"F"
470,"T"
471,"F"
472,"T"
473,"F"
474,"T"
475,"F"
476,"T"
477,"F"
478,"T"
479,"F"
481,"F"
484,"T"
488,"F"
491,"F"
492,"F"
493,"F"
494,"T"
495,"F"
497,"F"
498,"F"
499,"F"
500,"F"
504,"T"
505,"F"
506,"F"
508,"F"
509,"T"
510,"F"
513,"T"
518,"F"
520,"F"
523,"F"
526,"F"
529,"F"
530,"F"
533,"F"
534,"F"
535,"F"
536,"F"
541,"T"
547,"T"
548,"T"
549,"T"
550,"T"
552,"T"
554,"F"
557,"T"
560,"T"
561,"F"
564,"T"
565,"F"
566,"T"
572,"T"
573,"T"
574,"F"
575,"T"
577,"T"
580,"T"
583,"F"
585,"F"
586,"F"
587,"F"
589,"F"
591,"T"
592,"F"
593,"T"
595,"T"
596,"F"
598,"F"
599,"T"
601,"T"
602,"T"
604,"T"
606,"T"
607,"F"
608,"T"
609,"F"
616,"T"
620,"T"
621,"T"
622,"F"
623,"T"
626,"T"
629,"F"
632,"F"
633,"T"
636,"F"
639,"T"
645,"F"
647,"T"
648,"F"
650,"F"
651,"F"
652,"T"
654,"F"
656,"F"
660,"F"
666,"T"
670,"F"
672,"F"
673,"F"
678,"T"
681,"T"
686,"T"
690,"F"
692,"T"
693,"F"
694,"T"
702,"F"
703,"T"
704,"T"
706,"F"
707,"T"
710,"T"
713,"T"
714,"F"
715,"F"
717,"T"
718,"F"
719,"F"
721,"F"
725,"T"
726,"F"
730,"F"
731,"T"
732,"F"
733,"F"
734,"T"
736,"F"
737,"F"
740,"F"
741,"F"
743,"F"
744,"F"
745,"F"
746,"F"
748,"T"
749,"F"
750,"F"
751,"T"
752,"F"
753,"F"
754,"F"
755,"F"
756,"F"
758,"F"
759,"T"
761,"F"
762,"F"
766,"F"
767,"T"
769,"F"
771,"F"
772,"F"
773,"F"
775,"F"
777,"F"
778,"T"
779,"F"
782,"F"
784,"F"
785,"T"
788,"F"
791,"F"
792,"T"
793,"F"
